
#, CSV File: LD_V1.csv,,,,,,,,,,,,,
#, LD (Real Netlist) Connections: Onbd Bkpl Opti at 13.625G,,,,,,,,,,,,,
#, 1762 lines,,,,,,,,,,,,,
#, Version 34 for V1 Revision LD,,,,,,,,,,,,,
# Type,TX_Ch,TX SrDs,RX_Ch,RX SrDs,Latency,Speed,Pattern,Offset,Mid_dev,Rx_lane,Tx_lane,PreD_Loss,PostD_Loss,Path
Sd-Sd,0,0,7,34,38413.9,6,0x77,0,None,-1,-1,0,6.7074,U1S0.BR9/BP9 - T0166.7 - U1S7.BN56/BM56
Sd-Sd,0,1,7,32,38388.3,6,0x77,1,None,-1,-1,0,6.539,U1S0.BR11/BP11 - T0165.3 - U1S7.BN54/BM54
Sd-Sd,0,2,7,30,38347.6,6,0x77,2,None,-1,-1,0,6.334,U1S0.BR13/BP13 - T0161.6 - U1S7.BN52/BM52
Sd-Sd,0,3,6,28,38749.9,6,0x77,0,None,-1,-1,0,7.585,U1S0.BR17/BP17 - T0224.9 - U1S6.BJ46/BH46
Sd-Sd,0,4,6,29,38707.7,6,0x77,1,None,-1,-1,0,7.1641,U1S0.BR15/BP15 - T0226.9 - U1S6.BG47/BF47
Sd-Sd,0,5,7,33,38463.7,6,0x77,3,None,-1,-1,0,7.0678,U1S0.BU10/BT10 - T0168.5 - U1S7.BL55/BK55
Sd-Sd,0,6,7,31,38363.4,6,0x77,0,None,-1,-1,0,6.4343,U1S0.BU12/BT12 - T0162.4 - U1S7.BL53/BK53
Sd-Sd,0,7,6,27,38782,6,0x77,2,None,-1,-1,0,7.5886,U1S0.BU14/BT14 - T0233.0 - U1S6.BJ48/BH48
Sd-Sd,0,8,6,26,38654.1,6,0x77,3,None,-1,-1,0,7.2318,U1S0.BU16/BT16 - T0211.5 - U1S6.BL47/BK47
Sd-Sd,0,9,6,25,38637.1,6,0x77,0,None,-1,-1,0,7.0242,U1S0.BU18/BT18 - T0213.4 - U1S6.BJ44/BH44
Sd-Sd,0,10,5,24,39241.3,6,0x77,0,None,-1,-1,0,9.1774,U1S0.BR19/BP19 - T0300.7 - U1S5.BN48/BM48
Sd-Sd,0,11,5,20,39204.3,6,0x77,1,None,-1,-1,0,8.9237,U1S0.BR21/BP21 - T0299.0 - U1S5.BL45/BK45
Sd-Sd,0,12,5,23,39197.5,6,0x77,2,None,-1,-1,0,8.8078,U1S0.BR23/BP23 - T0300.7 - U1S5.BL43/BK43
Sd-Sd,0,13,4,9,40048.1,6,0x77,0,None,-1,-1,0,11.739,U1S0.BR25/BP25 - T0426.8 - U1S4.BL27/BK27
Sd-Sd,0,14,4,8,39999.4,6,0x77,1,None,-1,-1,0,11.5823,U1S0.BR27/BP27 - T0419.2 - U1S4.BL25/BK25
Sd-Sd,0,15,5,22,39243.4,6,0x77,3,None,-1,-1,0,9.3233,U1S0.BU20/BT20 - T0297.0 - U1S5.BN46/BM46
Sd-Sd,0,16,5,21,39158.7,6,0x77,0,None,-1,-1,0,8.9084,U1S0.BU22/BT22 - T0288.0 - U1S5.BN44/BM44
Sd-Sd,0,17,4,16,40101,6,0x77,2,None,-1,-1,0,12.1017,U1S0.BU24/BT24 - T0429.3 - U1S4.BN28/BM28
Sd-Sd,0,18,4,18,39956.6,6,0x77,3,None,-1,-1,0,11.6777,U1S0.BU26/BT26 - T0405.6 - U1S4.BN26/BM26
Sd-Sd,0,19,4,17,40039.3,6,0x77,0,None,-1,-1,0,11.977,U1S0.BU28/BT28 - T0417.4 - U1S4.BN24/BM24
Sd-Sd,0,20,3,19,39652.5,6,0x77,0,None,-1,-1,0,10.6134,U1S0.BU46/BT46 - T0361.1 - U1S3.BN22/BM22
Sd-Sd,0,21,3,7,39705,6,0x77,1,None,-1,-1,0,10.4023,U1S0.BR45/BP45 - T0380.7 - U1S3.BL23/BK23
Sd-Sd,0,22,3,6,39564.8,6,0x77,2,None,-1,-1,0,10.0091,U1S0.BR47/BP47 - T0357.2 - U1S3.BL21/BK21
Sd-Sd,0,23,3,15,39674.1,6,0x77,3,None,-1,-1,0,10.7152,U1S0.BU48/BT48 - T0363.5 - U1S3.BN20/BM20
Sd-Sd,0,24,3,5,39506.6,6,0x77,0,None,-1,-1,0,9.8569,U1S0.BR49/BP49 - T0347.1 - U1S3.BL19/BK19
Sd-Sd,0,25,2,14,38841.8,6,0x77,0,None,-1,-1,0,7.8182,U1S0.BL49/BK49 - T0240.9 - U1S2.BN18/BM18
Sd-Sd,0,26,2,12,38574.4,6,0x77,1,None,-1,-1,0,7.1548,U1S0.BJ52/BH52 - T0193.7 - U1S2.BN14/BM14
Sd-Sd,0,27,2,4,38851,6,0x77,2,None,-1,-1,0,7.7688,U1S0.BN50/BM50 - T0244.9 - U1S2.BL17/BK17
